N,prefix,history_log,total_events,feasible_points,first_event_t,last_event_t,first_feasible_t,first_feasible_L,first_feasible_density,best_feasible_t,best_feasible_L,best_feasible_density,best_stage,time_to_best_from_first_feasible,abs_improvement_after_first_feasible,relative_polish_gain,best_updates,longest_best_plateau_sec
5,N5_20260424_193054_job5489987_node_00_i12n0_w001_history_log,2025\old\logs\N5_20260424_193054_job5489987_node_00_i12n0_w001_history_log.csv,21,12,5.000000,206.000000,14.000000,2.272273500,0.237859973,133.000000,1.472296904,0.566567651,bisect_feas,119.000000,0.799976596,0.352059995,12,73.000000
5,N5_20260424_193054_job5489987_node_01_i12n1_w001_history_log,2025\old\logs\N5_20260424_193054_job5489987_node_01_i12n1_w001_history_log.csv,19,13,5.000000,173.000000,5.000000,2.415000000,0.210575724,110.000000,1.483422573,0.558101006,bracket_shrink_feas,105.000000,0.931577427,0.385746347,13,63.000000
5,N5_20260424_193054_job5489987_node_02_i12n4_w001_history_log,2025\old\logs\N5_20260424_193054_job5489987_node_02_i12n4_w001_history_log.csv,27,13,5.000000,228.000000,5.000000,2.415000000,0.210575724,104.000000,1.529301622,0.525117237,bracket_shrink_feas,99.000000,0.885698378,0.366748811,13,124.000000
5,N5_20260424_193054_job5489987_node_03_i12n7_w001_history_log,2025\old\logs\N5_20260424_193054_job5489987_node_03_i12n7_w001_history_log.csv,22,12,5.000000,205.000000,5.000000,2.415000000,0.210575724,103.000000,1.529301622,0.525117237,bracket_shrink_feas,98.000000,0.885698378,0.366748811,12,102.000000
5,N5_20260424_193054_job5489987_node_04_i12n8_w001_history_log,2025\old\logs\N5_20260424_193054_job5489987_node_04_i12n8_w001_history_log.csv,24,12,5.000000,226.000000,5.000000,2.415000000,0.210575724,117.000000,1.483422573,0.558101006,bracket_shrink_feas,112.000000,0.931577427,0.385746347,12,109.000000
5,N5_20260424_200856_job5490039_node_00_i9n0_w001_history_log,2025\old\logs\N5_20260424_200856_job5490039_node_00_i9n0_w001_history_log.csv,19,12,4.000000,152.000000,14.000000,2.272273500,0.237859973,132.000000,1.472296904,0.566567651,bisect_feas,118.000000,0.799976596,0.352059995,12,41.000000
5,N5_20260424_200856_job5490039_node_01_i9n11_w001_history_log,2025\old\logs\N5_20260424_200856_job5490039_node_01_i9n11_w001_history_log.csv,19,13,5.000000,173.000000,5.000000,2.415000000,0.210575724,110.000000,1.483422573,0.558101006,bracket_shrink_feas,105.000000,0.931577427,0.385746347,13,63.000000
5,N5_20260424_200856_job5490039_node_02_i9n14_w001_history_log,2025\old\logs\N5_20260424_200856_job5490039_node_02_i9n14_w001_history_log.csv,23,13,4.000000,178.000000,4.000000,2.415000000,0.210575724,103.000000,1.529301622,0.525117237,bracket_shrink_feas,99.000000,0.885698378,0.366748811,13,75.000000
5,N5_20260424_200856_job5490039_node_03_i9n16_w001_history_log,2025\old\logs\N5_20260424_200856_job5490039_node_03_i9n16_w001_history_log.csv,22,12,5.000000,202.000000,5.000000,2.415000000,0.210575724,102.000000,1.529301622,0.525117237,bracket_shrink_feas,97.000000,0.885698378,0.366748811,12,100.000000
5,N5_20260424_200856_job5490039_node_04_i9n18_w001_history_log,2025\old\logs\N5_20260424_200856_job5490039_node_04_i9n18_w001_history_log.csv,23,12,5.000000,200.000000,5.000000,2.415000000,0.210575724,110.000000,1.483422573,0.558101006,bracket_shrink_feas,105.000000,0.931577427,0.385746347,12,90.000000
5,N5_job5489984_node_00_i12n0_w001_history_log,2025\old\logs\N5_job5489984_node_00_i12n0_w001_history_log.csv,21,12,4.000000,209.000000,14.000000,2.272273500,0.237859973,134.000000,1.472296904,0.566567651,bisect_feas,120.000000,0.799976596,0.352059995,12,75.000000
5,N5_job5489984_node_01_i12n1_w001_history_log,2025\old\logs\N5_job5489984_node_01_i12n1_w001_history_log.csv,19,13,4.000000,172.000000,4.000000,2.415000000,0.210575724,109.000000,1.483422573,0.558101006,bracket_shrink_feas,105.000000,0.931577427,0.385746347,13,63.000000
5,N5_job5489984_node_02_i12n4_w001_history_log,2025\old\logs\N5_job5489984_node_02_i12n4_w001_history_log.csv,27,13,5.000000,226.000000,5.000000,2.415000000,0.210575724,103.000000,1.529301622,0.525117237,bracket_shrink_feas,98.000000,0.885698378,0.366748811,13,123.000000
5,N5_job5489984_node_03_i12n7_w001_history_log,2025\old\logs\N5_job5489984_node_03_i12n7_w001_history_log.csv,22,12,5.000000,206.000000,5.000000,2.415000000,0.210575724,103.000000,1.529301622,0.525117237,bracket_shrink_feas,98.000000,0.885698378,0.366748811,12,103.000000
5,N5_job5489984_node_04_i12n8_w001_history_log,2025\old\logs\N5_job5489984_node_04_i12n8_w001_history_log.csv,24,12,5.000000,233.000000,5.000000,2.415000000,0.210575724,120.000000,1.483422573,0.558101006,bracket_shrink_feas,115.000000,0.931577427,0.385746347,12,113.000000
10,N10_20260424_193109_job5489989_node_00_i12n0_w001_history_log,2025\old\logs\N10_20260424_193109_job5489989_node_00_i12n0_w001_history_log.csv,27,9,6.000000,250.000000,6.000000,3.450000000,0.206364209,232.000000,2.055724022,0.581223207,bisect_feas,226.000000,1.394275978,0.404137965,9,65.000000
10,N10_20260424_193109_job5489989_node_01_i12n1_w001_history_log,2025\old\logs\N10_20260424_193109_job5489989_node_01_i12n1_w001_history_log.csv,19,12,6.000000,181.000000,6.000000,3.450000000,0.206364209,148.000000,2.055599851,0.581293427,bracket_shrink_feas,142.000000,1.394400149,0.404173956,12,33.000000
10,N10_20260424_193109_job5489989_node_02_i12n4_w001_history_log,2025\old\logs\N10_20260424_193109_job5489989_node_02_i12n4_w001_history_log.csv,21,9,6.000000,241.000000,6.000000,3.450000000,0.206364209,136.000000,2.119175104,0.546938986,bracket_shrink_feas,130.000000,1.330824896,0.385746347,9,105.000000
10,N10_20260424_193109_job5489989_node_03_i12n7_w001_history_log,2025\old\logs\N10_20260424_193109_job5489989_node_03_i12n7_w001_history_log.csv,23,10,6.000000,248.000000,12.000000,3.346500000,0.219326399,248.000000,2.085788784,0.564588350,bisect_feas,236.000000,1.260711216,0.376725300,10,97.000000
10,N10_20260424_193109_job5489989_node_04_i12n9_w001_history_log,2025\old\logs\N10_20260424_193109_job5489989_node_04_i12n9_w001_history_log.csv,25,5,6.000000,247.000000,125.000000,2.184716603,0.514614892,247.000000,2.095396470,0.559422786,bisect_feas,122.000000,0.089320133,0.040884082,5,74.000000
10,N10_20260424_200952_job5490040_node_00_i9n11_w001_history_log,2025\old\logs\N10_20260424_200952_job5490040_node_00_i9n11_w001_history_log.csv,20,7,5.000000,176.000000,5.000000,3.450000000,0.206364209,176.000000,2.063546758,0.576824821,bisect_feas,171.000000,1.386453242,0.401870505,7,64.000000
10,N10_20260424_200952_job5490040_node_01_i9n14_w001_history_log,2025\old\logs\N10_20260424_200952_job5490040_node_01_i9n14_w001_history_log.csv,18,12,5.000000,147.000000,5.000000,3.450000000,0.206364209,147.000000,2.055599851,0.581293427,bracket_shrink_feas,142.000000,1.394400149,0.404173956,12,23.000000
10,N10_20260424_200952_job5490040_node_02_i9n16_w001_history_log,2025\old\logs\N10_20260424_200952_job5490040_node_02_i9n16_w001_history_log.csv,19,9,6.000000,173.000000,6.000000,3.450000000,0.206364209,136.000000,2.119175104,0.546938986,bracket_shrink_feas,130.000000,1.330824896,0.385746347,9,44.000000
10,N10_20260424_200952_job5490040_node_03_i9n18_w001_history_log,2025\old\logs\N10_20260424_200952_job5490040_node_03_i9n18_w001_history_log.csv,18,8,5.000000,154.000000,12.000000,3.346500000,0.219326399,134.000000,2.119175104,0.546938986,bracket_shrink_feas,122.000000,1.227324896,0.366748811,8,47.000000
10,N10_20260424_200952_job5490040_node_04_i9n23_w001_history_log,2025\old\logs\N10_20260424_200952_job5490040_node_04_i9n23_w001_history_log.csv,18,1,6.000000,171.000000,125.000000,2.184716603,0.514614892,125.000000,2.184716603,0.514614892,bracket_shrink_feas,0.000000,0.000000000,0.000000000,1,46.000000
10,N10_job5489985_node_00_i12n0_w001_history_log,2025\old\logs\N10_job5489985_node_00_i12n0_w001_history_log.csv,27,9,6.000000,251.000000,6.000000,3.450000000,0.206364209,232.000000,2.055724022,0.581223207,bisect_feas,226.000000,1.394275978,0.404137965,9,65.000000
10,N10_job5489985_node_01_i12n1_w001_history_log,2025\old\logs\N10_job5489985_node_01_i12n1_w001_history_log.csv,19,12,6.000000,180.000000,6.000000,3.450000000,0.206364209,147.000000,2.055599851,0.581293427,bracket_shrink_feas,141.000000,1.394400149,0.404173956,12,33.000000
10,N10_job5489985_node_02_i12n4_w001_history_log,2025\old\logs\N10_job5489985_node_02_i12n4_w001_history_log.csv,21,9,6.000000,242.000000,6.000000,3.450000000,0.206364209,136.000000,2.119175104,0.546938986,bracket_shrink_feas,130.000000,1.330824896,0.385746347,9,106.000000
10,N10_job5489985_node_03_i12n7_w001_history_log,2025\old\logs\N10_job5489985_node_03_i12n7_w001_history_log.csv,22,9,6.000000,245.000000,12.000000,3.346500000,0.219326399,237.000000,2.085835348,0.564563142,bisect_feas,225.000000,1.260664652,0.376711386,9,100.000000
10,N10_job5489985_node_04_i12n9_w001_history_log,2025\old\logs\N10_job5489985_node_04_i12n9_w001_history_log.csv,25,5,5.000000,246.000000,125.000000,2.184716603,0.514614892,246.000000,2.095396470,0.559422786,bisect_feas,121.000000,0.089320133,0.040884082,5,73.000000
25,N25_job5490041_task8_history_log,2025\old\logs\N25_job5490041_task8_history_log.csv,59,8,8.000000,14004.000000,8.000000,5.750000000,0.185727788,163.000000,3.641194338,0.463153403,bracket_shrink_feas,155.000000,2.108805662,0.366748811,8,13841.000000
25,N25_job5490042_task1_history_log,2025\old\logs\N25_job5490042_task1_history_log.csv,44,7,8.000000,14123.000000,8.000000,5.750000000,0.185727788,180.000000,3.531958507,0.492245087,bracket_shrink_feas,172.000000,2.218041493,0.385746347,7,13943.000000
25,N25_job5490043_task2_history_log,2025\old\logs\N25_job5490043_task2_history_log.csv,57,7,8.000000,14076.000000,16.000000,5.577500000,0.197393759,216.000000,3.323219760,0.556025172,bracket_shrink_feas,200.000000,2.254280240,0.404173956,7,13860.000000
25,N25_job5490720_task5_history_log,2025\old\logs\N25_job5490720_task5_history_log.csv,61,6,8.000000,14019.000000,8.000000,5.750000000,0.185727788,195.000000,3.425999752,0.523164085,bracket_shrink_feas,187.000000,2.324000248,0.404173956,6,13824.000000
25,N25_job5490721_task6_history_log,2025\old\logs\N25_job5490721_task6_history_log.csv,125,33,7.000000,13955.000000,7.000000,5.750000000,0.185727788,5358.000000,3.315186124,0.558723251,polish_improve,5351.000000,2.434813876,0.423445892,32,8597.000000
25,N25_job5491089_task7_history_log,2025\old\logs\N25_job5491089_task7_history_log.csv,48,5,7.000000,14005.000000,48.000000,4.937720648,0.251860200,217.000000,3.323219760,0.556025172,bracket_shrink_feas,169.000000,1.614500888,0.326972910,5,13788.000000
50,N50_job5490044_task6_history_log,2025\old\logs\N50_job5490044_task6_history_log.csv,163,27,8.000000,13788.000000,30.000000,7.347017650,0.227520433,3912.000000,4.699917698,0.555983709,polish_improve,3882.000000,2.647099952,0.360295848,26,9876.000000
50,N50_job5490045_task1_history_log,2025\old\logs\N50_job5490045_task1_history_log.csv,110,11,7.000000,13825.000000,63.000000,6.504261900,0.290299663,3624.000000,4.668137025,0.563579751,polish_improve,3561.000000,1.836124875,0.282295655,11,10201.000000
50,N50_job5490046_task2_history_log,2025\old\logs\N50_job5490046_task2_history_log.csv,91,13,7.000000,13850.000000,62.000000,6.504261900,0.290299663,3689.000000,4.694736892,0.557211481,polish_improve,3627.000000,1.809525009,0.278206050,13,10161.000000
50,N50_job5490722_task5_history_log,2025\old\logs\N50_job5490722_task5_history_log.csv,141,38,8.000000,13757.000000,22.000000,7.574245000,0.214073975,1956.000000,4.652290343,0.567425633,polish_improve,1934.000000,2.921954657,0.385775039,38,11801.000000
100,N100_job5490048_task1_history_log,2025\old\logs\N100_job5490048_task1_history_log.csv,159,14,6.000000,13683.000000,32.000000,10.180867315,0.236975262,3254.000000,6.828314733,0.526799685,polish_improve,3222.000000,3.352552582,0.329299310,13,10429.000000
100,N100_job5490049_task2_history_log,2025\old\logs\N100_job5490049_task2_history_log.csv,179,22,6.000000,13688.000000,53.000000,9.291802715,0.284493670,3714.000000,6.785398411,0.533484569,polish_improve,3661.000000,2.506404304,0.269743599,22,9974.000000
100,N100_job5490719_task3_history_log,2025\old\logs\N100_job5490719_task3_history_log.csv,116,15,6.000000,13688.000000,77.000000,8.480377459,0.341540494,623.000000,6.835219117,0.525735962,polish_improve,546.000000,1.645158342,0.193995886,15,13065.000000
200,N200_job5490050_task2_history_log,2025\old\logs\N200_job5490050_task2_history_log.csv,290,10,4.000000,28579.000000,19.000000,14.694035300,0.227520433,449.000000,10.104171651,0.481172870,polish_improve,430.000000,4.589863649,0.312362367,10,28130.000000
