# prefix=N10_20260424_193109_job5489989_node_01_i12n1_w001 run_id=9 seed=12354 L=2.0401828524280297 best_feas=0.0019002483338069786 N=10
i,cx,cy,theta_rad
0,0.6736266514387752,0.22593986730394894,5.8621293612551177
1,-0.61666045259126923,0.67487309311032206,5.1135997401922477
2,0.5088459491471653,-0.23580383151505749,0.36018726265736778
3,-0.50959541553517274,-0.6853343003584913,4.3084357769571824
4,0.11547507517489221,-0.45776773115421493,3.9437991710065878
5,-0.29818382993169457,-0.13926373184533769,2.0915838637870205
6,0.68071545585418169,-0.28128095999017355,3.5396278464613893
7,-0.67369620561161025,0.3381023711703241,2.8306574696848594
8,0.23114215499402496,0.68288736837657271,5.1196744121954607
9,-0.16831133068769549,0.44533550055678561,3.4885167318784753
