# prefix=N10_job5489985_node_00_i12n0_w001 run_id=1 seed=12346 L=2.0873874778795702 best_feas=0.00075525381395797004 N=10
i,cx,cy,theta_rad
0,-0.56243208026100489,0.37283888451753461,0.62343632861547016
1,-0.35673746701679476,-0.085944028591467145,5.7869468214410356
2,0.40163329009203447,-0.42994840925344618,0.60902435173168423
3,0.6737385208000044,-0.0085017603292555678,5.8168842222642727
4,0.77499274930122741,0.70887969343101431,1.1677207619542582
5,0.3271008876598317,0.33831720378948582,0.49722179840084407
6,-0.71729088983017442,0.086500816683924564,2.742597924705704
7,0.15849217270582372,-0.69981373419799908,1.9048808155480057
8,0.61880192273074641,-0.82255206358178323,5.7507198768923811
9,-0.31983016912006035,-0.33952558785166198,2.6269522195504691
