event_idx,unix_ts,elapsed_sec,stage,L,overlap,outside,feas,no_overlap,feasible,csv_path,svg_path
0,1777086638,4.000000,initial,16.099999999999998,0.84415315149705783,0,0.84415315149705783,0,0,csv/history/N200_job5490050_task2_initial_ov_infeas_e000000_t1777086638_N200.csv,img/history/N200_job5490050_task2_initial_ov_infeas_e000000_t1777086638_N200.svg
1,1777086643,9.000000,bracket_shrink_feas,15.616999999999997,0.013156856603404947,0,0.013156856603404947,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000001_t1777086643_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000001_t1777086643_N200.svg
2,1777086648,14.000000,bracket_shrink_feas,15.148489999999997,0.030409533178372229,0,0.030409533178372229,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000002_t1777086648_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000002_t1777086648_N200.svg
3,1777086653,19.000000,bracket_shrink_feas,14.694035299999998,5.5663958939458169e-11,0,5.5663958939458169e-11,1,1,csv/history/N200_job5490050_task2_bracket_shrink_feas_noov_feas_e000003_t1777086653_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_noov_feas_e000003_t1777086653_N200.svg
4,1777086659,25.000000,bracket_shrink_feas,14.253214240999997,0.0060465661691833164,0,0.0060465661691833164,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000004_t1777086659_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000004_t1777086659_N200.svg
5,1777086664,30.000000,bracket_shrink_feas,13.825617813769997,0.033708454276255739,0,0.033708454276255739,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000005_t1777086664_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000005_t1777086664_N200.svg
6,1777086670,36.000000,bracket_shrink_feas,13.410849279356896,0.082950807001861138,0,0.082950807001861138,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000006_t1777086670_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000006_t1777086670_N200.svg
7,1777086675,41.000000,bracket_shrink_feas,13.008523800976189,0.17270129875201631,0,0.17270129875201631,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000007_t1777086675_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000007_t1777086675_N200.svg
8,1777086681,47.000000,bracket_shrink_feas,12.618268086946903,0,0,0,1,1,csv/history/N200_job5490050_task2_bracket_shrink_feas_noov_feas_e000008_t1777086681_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_noov_feas_e000008_t1777086681_N200.svg
9,1777086688,54.000000,bracket_shrink_feas,12.239720044338496,0.011064127937704485,0,0.011064127937704485,0,0,csv/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000009_t1777086688_N200.csv,img/history/N200_job5490050_task2_bracket_shrink_feas_ov_infeas_e000009_t1777086688_N200.svg
