# prefix=N50_job5490044_task6 run_id=6 seed=12351 N=50
step,time_sec,info
74,607.000000,bestL=4.7237623747 feas=2.776e-16 eps=0.000336
146,1210.000000,bestL=4.7237623747 feas=2.776e-16 eps=0.00016
218,1811.000000,bestL=4.72337542885 feas=0.000e+00 eps=8.19e-05
290,2414.000000,bestL=4.71670981709 feas=0.000e+00 eps=5.12e-05
362,3014.000000,bestL=4.70603338251 feas=0.000e+00 eps=7.81e-05
433,3621.000000,bestL=4.69778425532 feas=6.418e-17 eps=9.53e-05
504,4227.000000,bestL=4.69721095961 feas=0.000e+00 eps=3.91e-05
575,4833.000000,bestL=4.69721095961 feas=0.000e+00 eps=2e-05
645,5433.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
715,6033.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
785,6633.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
855,7234.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
925,7834.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
995,8434.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1065,9035.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1135,9636.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1205,10236.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1275,10836.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1345,11437.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1415,12038.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1485,12638.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
1555,13239.000000,bestL=4.69701861405 feas=0.000e+00 eps=1e-05
