# prefix=N50_job5490044_task6 run_id=6 seed=12351 N=50
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
607.000000,4.7237623747,2.77555756156e-16,0.000336,74,4,14
1210.000000,4.7237623747,2.77555756156e-16,0.00015999,146,0,6
1811.000000,4.72337542885,0,8.19148e-05,218,1,18
2414.000000,4.71670981709,0,5.11934e-05,290,8,10
3014.000000,4.70603338251,0,7.811e-05,362,2,2
3621.000000,4.69778425532,6.41847686111e-17,9.5343e-05,433,0,13
4227.000000,4.69721095961,0,3.90525e-05,504,0,4
4833.000000,4.69721095961,0,1.99949e-05,575,0,15
5433.000000,4.69701861405,0,1e-05,645,0,5
6033.000000,4.69701861405,0,1e-05,715,0,15
6633.000000,4.69701861405,0,1e-05,785,0,5
7234.000000,4.69701861405,0,1e-05,855,0,15
7834.000000,4.69701861405,0,1e-05,925,0,5
8434.000000,4.69701861405,0,1e-05,995,0,15
9035.000000,4.69701861405,0,1e-05,1065,0,5
9636.000000,4.69701861405,0,1e-05,1135,0,15
10236.000000,4.69701861405,0,1e-05,1205,0,5
10836.000000,4.69701861405,0,1e-05,1275,0,15
11437.000000,4.69701861405,0,1e-05,1345,0,5
12038.000000,4.69701861405,0,1e-05,1415,0,15
12638.000000,4.69701861405,0,1e-05,1485,0,5
13239.000000,4.69701861405,0,1e-05,1555,0,15
