event_idx,unix_ts,elapsed_sec,stage,L,overlap,outside,feas,no_overlap,feasible,csv_path,svg_path
0,1777084263,5.000000,initial,2.4149999999999996,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_initial_noov_feas_e000000_t1777084263_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_initial_noov_feas_e000000_t1777084263_N005.svg
1,1777084267,9.000000,bracket_shrink_feas,2.3425499999999997,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000001_t1777084267_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000001_t1777084267_N005.svg
2,1777084272,14.000000,bracket_shrink_feas,2.2722734999999998,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000002_t1777084272_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000002_t1777084272_N005.svg
3,1777084277,19.000000,bracket_shrink_feas,2.2041052949999997,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000003_t1777084277_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000003_t1777084277_N005.svg
4,1777084283,25.000000,bracket_shrink_feas,2.1379821361499998,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000004_t1777084283_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000004_t1777084283_N005.svg
5,1777084288,30.000000,bracket_shrink_feas,2.0738426720654997,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000005_t1777084288_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000005_t1777084288_N005.svg
6,1777084294,36.000000,bracket_shrink_feas,2.0116273919035348,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000006_t1777084294_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000006_t1777084294_N005.svg
7,1777084300,42.000000,bracket_shrink_feas,1.9512785701464286,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000007_t1777084300_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000007_t1777084300_N005.svg
8,1777084306,48.000000,bracket_shrink_feas,1.8927402130420357,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000008_t1777084306_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000008_t1777084306_N005.svg
9,1777084313,55.000000,bracket_shrink_feas,1.8359580066507746,3.104629426078825e-06,0,3.104629426078825e-06,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000009_t1777084313_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000009_t1777084313_N005.svg
10,1777084320,62.000000,bracket_shrink_feas,1.7808792664512514,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000010_t1777084320_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000010_t1777084320_N005.svg
11,1777084327,69.000000,bracket_shrink_feas,1.7274528884577138,1.864899740477013e-07,0,1.864899740477013e-07,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000011_t1777084327_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000011_t1777084327_N005.svg
12,1777084335,77.000000,bracket_shrink_feas,1.6756293018039823,7.5272561688510311e-10,0,7.5272561688510311e-10,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000012_t1777084335_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000012_t1777084335_N005.svg
13,1777084344,86.000000,bracket_shrink_feas,1.6253604227498628,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000013_t1777084344_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000013_t1777084344_N005.svg
14,1777084352,94.000000,bracket_shrink_feas,1.5765996100673669,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000014_t1777084352_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000014_t1777084352_N005.svg
15,1777084362,104.000000,bracket_shrink_feas,1.5293016217653459,0,0,0,1,1,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000015_t1777084362_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_noov_feas_e000015_t1777084362_N005.svg
16,1777084371,113.000000,bracket_shrink_feas,1.4834225731123856,1.8150669899625271e-05,0,1.8150669899625271e-05,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000016_t1777084371_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bracket_shrink_feas_ov_infeas_e000016_t1777084371_N005.svg
17,1777084395,137.000000,bisect_feas,1.4722969038140428,6.291971529327471e-05,0,6.291971529327471e-05,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000017_t1777084395_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000017_t1777084395_N005.svg
18,1777084402,144.000000,bisect_feas,1.4667340691648714,0.00068515669167594571,0,0.00068515669167594571,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000018_t1777084402_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000018_t1777084402_N005.svg
19,1777084409,151.000000,bisect_feas,1.4639526518402857,0.00021212609756776309,0,0.00021212609756776309,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000019_t1777084409_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000019_t1777084409_N005.svg
20,1777084423,165.000000,bisect_feas,1.4632572975091391,9.6152177500231646e-05,0,9.6152177500231646e-05,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000020_t1777084423_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000020_t1777084423_N005.svg
21,1777084430,172.000000,bisect_feas,1.4629096203435659,0.0029684375317369869,0,0.0029684375317369869,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000021_t1777084430_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000021_t1777084430_N005.svg
22,1777084437,179.000000,bisect_feas,1.4627357817607791,0.0042186301115647333,0,0.0042186301115647333,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000022_t1777084437_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000022_t1777084437_N005.svg
23,1777084452,194.000000,bisect_feas,1.4626923221150825,0.0032703734845663328,0,0.0032703734845663328,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000023_t1777084452_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000023_t1777084452_N005.svg
24,1777084459,201.000000,bisect_feas,1.4626705922922341,0.00094253385928725556,0,0.00094253385928725556,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000024_t1777084459_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000024_t1777084459_N005.svg
25,1777084466,208.000000,bisect_feas,1.46265972738081,0.0021869097208040544,0,0.0021869097208040544,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000025_t1777084466_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000025_t1777084466_N005.svg
26,1777084486,228.000000,bisect_feas,1.4626583692668818,4.8951595861133166e-05,0,4.8951595861133166e-05,0,0,csv/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000026_t1777084486_N005.csv,img/history/N5_20260424_193054_job5489987_node_02_i12n4_w001_bisect_feas_ov_infeas_e000026_t1777084486_N005.svg
