event_idx,unix_ts,elapsed_sec,stage,L,overlap,outside,feas,no_overlap,feasible,csv_path,svg_path
0,1777083695,5.000000,initial,2.4149999999999996,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_initial_noov_feas_e000000_t1777083695_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_initial_noov_feas_e000000_t1777083695_N005.svg
1,1777083700,10.000000,bracket_shrink_feas,2.3425499999999997,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000001_t1777083700_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000001_t1777083700_N005.svg
2,1777083705,15.000000,bracket_shrink_feas,2.2722734999999998,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000002_t1777083705_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000002_t1777083705_N005.svg
3,1777083711,21.000000,bracket_shrink_feas,2.2041052949999997,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000003_t1777083711_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000003_t1777083711_N005.svg
4,1777083717,27.000000,bracket_shrink_feas,2.1379821361499998,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000004_t1777083717_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000004_t1777083717_N005.svg
5,1777083722,32.000000,bracket_shrink_feas,2.0738426720654997,7.2134783196316961e-05,0,7.2134783196316961e-05,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000005_t1777083722_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000005_t1777083722_N005.svg
6,1777083729,39.000000,bracket_shrink_feas,2.0116273919035348,1.4709909768811795e-05,0,1.4709909768811795e-05,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000006_t1777083729_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000006_t1777083729_N005.svg
7,1777083735,45.000000,bracket_shrink_feas,1.9512785701464286,0.00010729433183472129,0,0.00010729433183472129,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000007_t1777083735_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000007_t1777083735_N005.svg
8,1777083742,52.000000,bracket_shrink_feas,1.8927402130420357,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000008_t1777083742_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000008_t1777083742_N005.svg
9,1777083749,59.000000,bracket_shrink_feas,1.8359580066507746,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000009_t1777083749_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000009_t1777083749_N005.svg
10,1777083757,67.000000,bracket_shrink_feas,1.7808792664512514,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000010_t1777083757_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000010_t1777083757_N005.svg
11,1777083765,75.000000,bracket_shrink_feas,1.7274528884577138,2.6444694584388222e-06,0,2.6444694584388222e-06,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000011_t1777083765_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000011_t1777083765_N005.svg
12,1777083773,83.000000,bracket_shrink_feas,1.6756293018039823,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000012_t1777083773_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000012_t1777083773_N005.svg
13,1777083781,91.000000,bracket_shrink_feas,1.6253604227498628,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000013_t1777083781_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000013_t1777083781_N005.svg
14,1777083790,100.000000,bracket_shrink_feas,1.5765996100673669,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000014_t1777083790_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000014_t1777083790_N005.svg
15,1777083799,109.000000,bracket_shrink_feas,1.5293016217653459,3.242700859608501e-08,0,3.242700859608501e-08,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000015_t1777083799_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_ov_infeas_e000015_t1777083799_N005.svg
16,1777083810,120.000000,bracket_shrink_feas,1.4834225731123856,0,0,0,1,1,csv/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000016_t1777083810_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bracket_shrink_feas_noov_feas_e000016_t1777083810_N005.svg
17,1777083828,138.000000,bisect_feas,1.4611712345156997,5.5840037128158513e-06,0,5.5840037128158513e-06,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000017_t1777083828_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000017_t1777083828_N005.svg
18,1777083850,160.000000,bisect_feas,1.4583898171911138,9.351415573901401e-06,0,9.351415573901401e-06,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000018_t1777083850_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000018_t1777083850_N005.svg
19,1777083864,174.000000,bisect_feas,1.4576944628599673,0.00019421272886332888,0,0.00019421272886332888,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000019_t1777083864_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000019_t1777083864_N005.svg
20,1777083886,196.000000,bisect_feas,1.457607543568574,0.01563562787929856,0,0.01563562787929856,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000020_t1777083886_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000020_t1777083886_N005.svg
21,1777083893,203.000000,bisect_feas,1.4575640839228774,0.0059702198748380463,0,0.0059702198748380463,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000021_t1777083893_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000021_t1777083893_N005.svg
22,1777083908,218.000000,bisect_feas,1.4575532190114533,0.0050889486841173689,0,0.0050889486841173689,0,0,csv/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000022_t1777083908_N005.csv,img/history/N5_job5489984_node_04_i12n8_w001_bisect_feas_ov_infeas_e000022_t1777083908_N005.svg
