i,x,y,deg
0,-3.014293058720,-2.982938557386,45.000000000000
1,-2.765852963732,-3.017814870891,225.000000000000
2,-2.061867858229,-3.069883393876,45.000000000000
3,-1.808745705838,-3.101483087689,225.000000000000
4,-3.160704319975,-2.239050742818,225.000000000000
5,-2.451165062574,-2.302884114921,45.000000000000
6,-2.191183010290,-2.333177564299,225.000000000000
7,-1.594649960843,-2.225562511623,45.000000000000
8,-2.926102306577,-1.614842756118,45.000000000000
9,-2.572006941801,-1.569311953763,225.000000000000
