i,x,y,deg
0,-2.002209084784,-2.249514657401,0.000000000000
1,-2.391326492463,-1.909555847082,36.000000000000
2,-2.850523301652,-1.888971164895,72.000000000000
3,-3.301413340780,-2.147698836199,108.000000000000
4,-3.479129718554,-2.624874658542,144.000000000000
5,-3.329366104376,-3.107399930352,180.000000000000
6,-2.927512369509,-3.416800304375,216.000000000000
7,-2.468322744345,-3.437373489105,252.000000000000
8,-2.028580594370,-3.169072635514,288.000000000000
9,-1.867178578619,-2.690583322163,324.000000000000
