i,x,y,deg
0,-3.101090104561,-3.697182397642,0.000000000000
1,-2.674439271341,-3.219561869220,180.000000000000
2,-2.165775208236,-3.219561869220,0.000000000000
3,-2.799698734494,-2.169001438568,180.000000000000
4,-2.348864284487,-2.418166988489,0.000000000000
5,-1.715937344694,-2.653113593391,180.000000000000
6,-1.333464357756,-3.583732317000,90.000000000000
7,-3.341874891824,-2.531609324543,227.507764050038
8,-2.264408703459,-4.039027567698,5.015528100076
9,-1.559460136292,-1.961770196750,142.523292150113
