i,x,y,deg
0,-6.974786023432,-6.348776337889,45.000000000000
1,-6.480010303438,-6.136892397022,45.000000000000
2,-6.268277677989,-5.642327083597,45.000000000000
3,-5.773820878764,-5.430847660904,45.000000000000
4,-5.562340112087,-4.936530369164,45.000000000000
5,-5.350842087110,-4.442368490703,45.000000000000
6,-4.856524808454,-4.230887710997,45.000000000000
7,-4.644900688984,-3.736575608188,45.000000000000
8,-4.150335383672,-3.524842974715,45.000000000000
9,-3.938396175591,-3.030122521711,45.000000000000
