i,x,y,deg
0,-4.082773829876,-2.893762512164,-45.000000000000
1,-2.993715174498,-3.011468246373,45.000000000000
2,-2.691557466488,-2.818651207552,-45.000000000000
3,-1.616593284361,-2.966509466405,45.000000000000
4,-3.530666272732,-2.188087166067,45.000000000000
5,-3.195098922300,-2.359365112507,-45.000000000000
6,-2.158432826013,-2.109036176105,45.000000000000
7,-1.852876690607,-2.298454787529,-45.000000000000
8,-3.515086514132,-1.663598321035,-45.000000000000
9,-2.546969673853,-1.365846638706,45.000000000000
