i,x,y,deg
0,-3.371082696318,-3.051490476726,0.000000000000
1,-2.860875853395,-3.241283633803,0.000000000000
2,-2.418096956017,-2.663952990765,0.000000000000
3,-1.918096956017,-2.863952990765,0.000000000000
4,-3.371519349520,-2.016517053891,0.000000000000
5,-2.863771537111,-2.224264866300,0.000000000000
6,-2.261566716240,-1.853749686071,0.000000000000
7,-1.761566717073,-2.053749685612,0.000000000000
8,-3.209925330892,-1.199638227826,0.000000000000
9,-2.703073771107,-1.406489787986,0.000000000000
