i,x,y,deg
0,-2.458961098402,-2.432896995394,0.000000000000
1,-2.046375893285,-1.870330913786,48.701412586120
2,-2.713658458344,-1.694156711733,97.402825172240
3,-2.950964209861,-2.081830939210,146.104237758360
4,-2.872342100864,-2.612011249192,194.805650344480
5,-2.436663729895,-2.765200281557,243.507062930600
6,-1.866074711973,-2.697356242477,292.208475516720
7,-1.474104746659,-2.231772476141,340.909888102840
8,-1.565007739458,-1.630329543675,29.611300688960
9,-2.146476440920,-1.186827803924,78.312713275080
