run_id,seed,method,N,R,wall_sec,probe_idx,L_current,best_energy,best_feas,feasible_ever,L_best,event
0,7,pt,5,8,0.00,0,1.773133,1.000000e+30,0.000000e+00,0,,probe_start
0,7,pt,5,8,6.00,0,1.773133,1.143978e+01,1.143978e+01,0,,probe_end
0,7,pt,5,8,6.00,1,2.105595,1.143978e+01,0.000000e+00,0,,probe_start
0,7,pt,5,8,12.00,1,2.105595,4.924024e+00,4.924024e+00,0,,probe_end
0,7,pt,5,8,12.00,2,2.271826,4.924024e+00,0.000000e+00,0,,probe_start
0,7,pt,5,8,18.00,2,2.271826,3.772721e+00,3.772721e+00,0,,probe_end
0,7,pt,5,8,18.00,3,2.354942,3.772721e+00,0.000000e+00,0,,probe_start
0,7,pt,5,8,24.00,3,2.354942,3.772721e+00,8.573537e+00,0,,probe_end
0,7,pt,5,8,24.00,4,2.396500,3.772721e+00,0.000000e+00,0,,probe_start
0,7,pt,5,8,30.00,4,2.396500,3.772721e+00,1.219562e+01,0,,probe_end
