run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
0,42,pt,5,8,0,0.00,6.00,1.773133,2.438058,1.773133,6.00,6.00,0,3.631908e+00,3.631908e+00,0,,0.664925
0,42,pt,5,8,1,6.00,12.00,2.105595,2.438058,2.105595,6.00,6.00,0,4.885862e+00,4.885862e+00,0,,0.332462
0,42,pt,5,8,2,12.00,18.00,2.271826,2.438058,2.271826,6.00,6.00,0,3.923278e+00,3.923278e+00,0,,0.166231
0,42,pt,5,8,3,18.00,24.00,2.354942,2.438058,2.354942,6.00,6.00,0,2.171875e+00,2.171875e+00,0,,0.083116
0,42,pt,5,8,4,24.00,30.00,2.396500,2.438058,2.396500,6.00,6.00,0,4.961658e+00,4.961658e+00,0,,0.041558
0,42,pt,5,8,5,30.00,42.00,2.417279,2.438058,2.417279,12.00,12.00,0,6.297293e+00,6.297293e+00,0,,0.020779
0,42,pt,5,8,6,42.00,54.00,2.427668,2.438058,2.427668,12.00,12.00,0,5.055207e+00,5.055207e+00,0,,0.010389
0,42,pt,5,8,7,54.00,66.00,2.432863,2.438058,2.432863,12.00,12.00,0,4.852933e+00,4.852933e+00,0,,0.005195
0,42,pt,5,8,8,66.00,78.00,2.435460,2.438058,2.435460,12.00,12.00,0,3.656393e+00,3.656393e+00,0,,0.002597
0,42,pt,5,8,9,78.00,90.00,2.436759,2.438058,2.436759,12.00,12.00,0,6.421773e+00,6.421773e+00,0,,0.001299
0,42,pt,5,8,10,90.00,114.00,2.437408,2.438058,2.437408,24.00,24.00,0,2.842650e+00,2.842650e+00,0,,0.000649
0,42,pt,5,8,11,114.00,138.00,2.437733,2.438058,2.437733,24.00,24.00,0,8.734175e+00,8.734175e+00,0,,0.000325
0,42,pt,5,8,12,138.00,162.00,2.437895,2.438058,2.437895,24.00,24.00,0,4.654324e+00,4.654324e+00,0,,0.000162
0,42,pt,5,8,13,162.00,180.00,2.437976,2.438058,2.437976,18.00,18.00,0,1.274891e+00,1.274891e+00,0,,0.000081
