run_id,seed,method,N,R,wall_sec,probe_idx,L_current,best_energy,best_feas,feasible_ever,L_best,event
0,42,pt,5,8,0.00,0,1.773133,1.000000e+30,0.000000e+00,0,,probe_start
0,42,pt,5,8,6.00,0,1.773133,3.631908e+00,3.631908e+00,0,,probe_end
0,42,pt,5,8,6.00,1,2.105595,3.631908e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,12.00,1,2.105595,3.631908e+00,4.885862e+00,0,,probe_end
0,42,pt,5,8,12.00,2,2.271826,3.631908e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,18.00,2,2.271826,3.631908e+00,3.923278e+00,0,,probe_end
0,42,pt,5,8,18.00,3,2.354942,3.631908e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,24.00,3,2.354942,2.171875e+00,2.171875e+00,0,,probe_end
0,42,pt,5,8,24.00,4,2.396500,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,30.00,4,2.396500,2.171875e+00,4.961658e+00,0,,probe_end
0,42,pt,5,8,30.00,5,2.417279,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,42.00,5,2.417279,2.171875e+00,6.297293e+00,0,,probe_end
0,42,pt,5,8,42.00,6,2.427668,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,54.00,6,2.427668,2.171875e+00,5.055207e+00,0,,probe_end
0,42,pt,5,8,54.00,7,2.432863,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,66.00,7,2.432863,2.171875e+00,4.852933e+00,0,,probe_end
0,42,pt,5,8,66.00,8,2.435460,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,78.00,8,2.435460,2.171875e+00,3.656393e+00,0,,probe_end
0,42,pt,5,8,78.00,9,2.436759,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,90.00,9,2.436759,2.171875e+00,6.421773e+00,0,,probe_end
0,42,pt,5,8,90.00,10,2.437408,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,114.00,10,2.437408,2.171875e+00,2.842650e+00,0,,probe_end
0,42,pt,5,8,114.00,11,2.437733,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,138.00,11,2.437733,2.171875e+00,8.734175e+00,0,,probe_end
0,42,pt,5,8,138.00,12,2.437895,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,162.00,12,2.437895,2.171875e+00,4.654324e+00,0,,probe_end
0,42,pt,5,8,162.00,13,2.437976,2.171875e+00,0.000000e+00,0,,probe_start
0,42,pt,5,8,180.00,13,2.437976,1.274891e+00,1.274891e+00,0,,probe_end
