run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
1,2000,pt,10,10,0,0.00,6.00,2.507588,3.447934,2.507588,6.00,6.00,0,2.363049e-01,2.363049e-01,0,,0.940346
1,2000,pt,10,10,1,6.00,12.00,2.977761,3.447934,2.977761,6.00,6.00,0,1.133774e+00,1.133774e+00,0,,0.470173
1,2000,pt,10,10,2,12.00,18.00,3.212848,3.447934,3.212848,6.00,6.00,0,2.132379e-01,2.132379e-01,0,,0.235086
1,2000,pt,10,10,3,18.00,24.00,3.330391,3.447934,3.330391,6.00,6.00,0,1.664955e-01,1.664955e-01,0,,0.117543
1,2000,pt,10,10,4,24.00,30.00,3.389163,3.447934,3.389163,6.00,6.00,0,7.637280e-01,7.637280e-01,0,,0.058772
1,2000,pt,10,10,5,30.00,42.00,3.418548,3.447934,3.418548,12.00,12.00,0,7.423488e-01,7.423488e-01,0,,0.029386
1,2000,pt,10,10,6,42.00,54.00,3.433241,3.447934,3.433241,12.00,12.00,0,7.567280e-01,7.567280e-01,0,,0.014693
1,2000,pt,10,10,7,54.00,66.00,3.440588,3.447934,3.440588,12.00,12.00,0,1.022417e+00,1.022417e+00,0,,0.007346
1,2000,pt,10,10,8,66.00,78.00,3.444261,3.447934,3.444261,12.00,12.00,0,1.537312e-01,1.537312e-01,0,,0.003673
1,2000,pt,10,10,9,78.00,90.00,3.446098,3.447934,3.446098,12.00,12.00,0,4.388898e-01,4.388898e-01,0,,0.001837
1,2000,pt,10,10,10,90.00,114.00,3.447016,3.447934,3.447016,24.00,24.00,0,9.995412e-01,9.995412e-01,0,,0.000918
1,2000,pt,10,10,11,114.00,138.00,3.447475,3.447934,3.447475,24.00,24.00,0,1.461357e+00,1.461357e+00,0,,0.000459
1,2000,pt,10,10,12,138.00,162.00,3.447705,3.447934,3.447705,24.00,24.00,0,1.411422e-01,1.411422e-01,0,,0.000230
1,2000,pt,10,10,13,162.00,186.00,3.447819,3.447934,3.447819,24.00,24.00,0,2.087008e-01,2.087008e-01,0,,0.000115
1,2000,pt,10,10,14,186.00,210.00,3.447877,3.447934,3.447877,24.00,24.00,0,1.610244e-01,1.610244e-01,0,,0.000057
1,2000,pt,10,10,15,210.00,234.00,3.447905,3.447934,3.447905,24.00,24.00,0,9.263712e-01,9.263712e-01,0,,0.000029
1,2000,pt,10,10,16,234.00,258.00,3.447920,3.447934,3.447920,24.00,24.00,0,3.990305e-01,3.990305e-01,0,,0.000014
1,2000,pt,10,10,17,258.00,282.00,3.447927,3.447934,3.447927,24.00,24.00,0,4.021225e-01,4.021225e-01,0,,0.000007
1,2000,pt,10,10,18,282.00,306.00,3.447931,3.447934,3.447931,24.00,24.00,0,4.381414e-01,4.381414e-01,0,,0.000004
1,2000,pt,10,10,19,306.00,330.00,3.447932,3.447934,3.447932,24.00,24.00,0,5.261066e-01,5.261066e-01,0,,0.000002
1,2000,pt,10,10,20,330.00,354.00,3.447933,3.447934,3.447933,24.00,24.00,0,5.086430e-01,5.086430e-01,0,,0.000001
1,2000,pt,10,10,21,354.00,378.00,3.447934,3.447934,3.447934,24.00,24.00,0,1.422513e+00,1.422513e+00,0,,0.000000
1,2000,pt,10,10,22,378.00,402.00,3.447934,3.447934,3.447934,24.00,24.00,0,1.496923e-01,1.496923e-01,0,,0.000000
1,2000,pt,10,10,23,402.00,426.00,3.447934,3.447934,3.447934,24.00,24.00,0,6.202196e-01,6.202196e-01,0,,0.000000
1,2000,pt,10,10,24,426.00,450.00,3.447934,3.447934,3.447934,24.00,24.00,0,6.464509e-01,6.464509e-01,0,,0.000000
1,2000,pt,10,10,25,450.00,474.00,3.447934,3.447934,3.447934,24.00,24.00,0,2.344271e-01,2.344271e-01,0,,0.000000
1,2000,pt,10,10,26,474.00,498.00,3.447934,3.447934,3.447934,24.00,24.00,0,9.544794e-01,9.544794e-01,0,,0.000000
1,2000,pt,10,10,27,498.00,522.00,3.447934,3.447934,3.447934,24.00,24.00,0,1.542079e-01,1.542079e-01,0,,0.000000
1,2000,pt,10,10,28,522.00,546.00,3.447934,3.447934,3.447934,24.00,24.00,0,5.851542e-01,5.851542e-01,0,,0.000000
1,2000,pt,10,10,29,546.00,570.00,3.447934,3.447934,3.447934,24.00,24.00,0,1.706206e-01,1.706206e-01,0,,0.000000
1,2000,pt,10,10,30,570.00,594.00,3.447934,3.447934,3.447934,24.00,24.00,0,1.087457e+00,1.087457e+00,0,,0.000000
1,2000,pt,10,10,31,594.00,618.00,3.447934,3.447934,3.447934,24.00,24.00,0,1.074788e+00,1.074788e+00,0,,0.000000
1,2000,pt,10,10,32,618.00,642.00,3.447934,3.447934,3.447934,24.00,24.00,0,4.878876e-01,4.878876e-01,0,,0.000000
1,2000,pt,10,10,33,642.00,666.00,3.447934,3.447934,3.447934,24.00,24.00,0,3.762786e-01,3.762786e-01,0,,0.000000
1,2000,pt,10,10,34,666.00,690.00,3.447934,3.447934,3.447934,24.00,24.00,0,5.849938e-01,5.849938e-01,0,,0.000000
1,2000,pt,10,10,35,690.00,714.00,3.447934,3.447934,3.447934,24.00,24.00,0,3.237970e-01,3.237970e-01,0,,0.000000
1,2000,pt,10,10,36,714.00,738.00,3.447934,3.447934,3.447934,24.00,24.00,0,6.712190e-02,6.712190e-02,0,,0.000000
