run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
0,99,erms,20,10,0,0.00,6.00,3.546266,4.876115,3.546266,6.00,6.00,0,1.424803e-03,1.424803e-03,1018,,1.329850
0,99,erms,20,10,1,6.00,9.00,3.546266,4.211190,4.211190,6.00,3.00,1,0.000000e+00,0.000000e+00,988,4.211190,0.664925
0,99,erms,20,10,2,9.00,15.00,3.878728,4.211190,3.878728,6.00,6.00,0,3.961206e-03,3.961206e-03,902,4.211190,0.332462
0,99,erms,20,10,3,15.00,15.00,3.878728,4.044959,4.044959,6.00,0.00,1,5.472060e-07,5.472060e-07,110,4.044959,0.166231
0,99,erms,20,10,4,15.00,21.00,3.961844,4.044959,3.961844,6.00,6.00,0,2.139484e-03,2.139484e-03,893,4.044959,0.083116
0,99,erms,20,10,5,21.00,33.00,4.003401,4.044959,4.003401,12.00,12.00,0,1.122330e-03,1.122330e-03,2053,4.044959,0.041558
0,99,erms,20,10,6,33.00,45.00,4.024180,4.044959,4.024180,12.00,12.00,0,1.796103e-03,1.796103e-03,2107,4.044959,0.020779
0,99,erms,20,10,7,45.00,49.00,4.024180,4.034570,4.034570,12.00,4.00,1,5.650687e-08,5.650687e-08,801,4.034570,0.010389
0,99,erms,20,10,8,49.00,57.00,4.024180,4.029375,4.029375,12.00,8.00,1,6.835600e-07,6.835600e-07,1384,4.029375,0.005195
0,99,erms,20,10,9,57.00,69.00,4.026778,4.029375,4.026778,12.00,12.00,0,7.271794e-04,7.271794e-04,1904,4.029375,0.002597
