run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
0,99,ms,20,10,0,0.00,6.00,3.546266,4.876115,3.546266,6.00,6.00,0,1.476158e-03,1.476158e-03,0,,1.329850
0,99,ms,20,10,1,6.00,6.00,3.546266,4.211190,4.211190,6.00,0.00,1,2.870875e-07,2.870875e-07,0,4.211190,0.664925
0,99,ms,20,10,2,6.00,12.00,3.878728,4.211190,3.878728,6.00,6.00,0,5.487255e-06,5.487255e-06,0,4.211190,0.332462
0,99,ms,20,10,3,12.00,12.00,3.878728,4.044959,4.044959,6.00,0.00,1,7.416901e-07,7.416901e-07,0,4.044959,0.166231
0,99,ms,20,10,4,12.00,12.00,3.878728,3.961844,3.961844,6.00,0.00,1,0.000000e+00,0.000000e+00,0,3.961844,0.083116
0,99,ms,20,10,5,12.00,24.00,3.920286,3.961844,3.920286,12.00,12.00,0,6.520607e-05,6.520607e-05,0,3.961844,0.041558
0,99,ms,20,10,6,24.00,36.00,3.941065,3.961844,3.941065,12.00,12.00,0,4.279131e-05,4.279131e-05,0,3.961844,0.020779
0,99,ms,20,10,7,36.00,48.00,3.951454,3.961844,3.951454,12.00,12.00,0,1.007113e-05,1.007113e-05,0,3.961844,0.010389
0,99,ms,20,10,8,48.00,60.00,3.956649,3.961844,3.956649,12.00,12.00,0,1.546620e-05,1.546620e-05,0,3.961844,0.005195
0,99,ms,20,10,9,60.00,65.00,3.956649,3.959246,3.959246,12.00,5.00,1,1.995975e-07,1.995975e-07,0,3.959246,0.002597
