run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
1,2000,ms,20,10,0,0.00,6.00,3.546266,4.876115,3.546266,6.00,6.00,0,9.154847e-04,9.154847e-04,0,,1.329850
1,2000,ms,20,10,1,6.00,6.00,3.546266,4.211190,4.211190,6.00,0.00,1,2.982537e-07,2.982537e-07,0,4.211190,0.664925
1,2000,ms,20,10,2,6.00,12.00,3.878728,4.211190,3.878728,6.00,6.00,0,3.211747e-05,3.211747e-05,0,4.211190,0.332462
1,2000,ms,20,10,3,12.00,17.00,3.878728,4.044959,4.044959,6.00,5.00,1,0.000000e+00,0.000000e+00,0,4.044959,0.166231
1,2000,ms,20,10,4,17.00,23.00,3.961844,4.044959,3.961844,6.00,6.00,0,5.308402e-06,5.308402e-06,0,4.044959,0.083116
1,2000,ms,20,10,5,23.00,35.00,4.003401,4.044959,4.003401,12.00,12.00,0,1.286884e-06,1.286884e-06,0,4.044959,0.041558
1,2000,ms,20,10,6,35.00,36.00,4.003401,4.024180,4.024180,12.00,1.00,1,0.000000e+00,0.000000e+00,0,4.024180,0.020779
1,2000,ms,20,10,7,36.00,36.00,4.003401,4.013791,4.013791,12.00,0.00,1,2.855375e-07,2.855375e-07,0,4.013791,0.010389
1,2000,ms,20,10,8,36.00,48.00,4.008596,4.013791,4.008596,12.00,12.00,0,2.817512e-06,2.817512e-06,0,4.013791,0.005195
1,2000,ms,20,10,9,48.00,60.00,4.011194,4.013791,4.011194,12.00,12.00,0,2.572908e-06,2.572908e-06,0,4.013791,0.002597
