run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
2,42,erms,100,10,0,0.00,15.00,9.912114,14.868171,9.912114,15.00,15.00,0,4.977097e-03,4.977097e-03,494,,4.956057
2,42,erms,100,10,1,15.00,21.00,9.912114,12.390142,12.390142,15.00,6.00,1,4.585704e-07,4.585704e-07,300,12.390142,2.478028
2,42,erms,100,10,2,21.00,36.00,11.151128,12.390142,11.151128,15.00,15.00,0,1.887795e-03,1.887795e-03,631,12.390142,1.239014
2,42,erms,100,10,3,36.00,42.00,11.151128,11.770635,11.770635,15.00,6.00,1,1.544678e-07,1.544678e-07,318,11.770635,0.619507
2,42,erms,100,10,4,42.00,57.00,11.460882,11.770635,11.460882,15.00,15.00,0,8.073902e-04,8.073902e-04,631,11.770635,0.309754
2,42,erms,100,10,5,57.00,79.00,11.460882,11.615758,11.615758,30.00,22.00,1,0.000000e+00,0.000000e+00,1005,11.615758,0.154877
2,42,erms,100,10,6,79.00,80.00,11.460882,11.538320,11.538320,30.00,1.00,1,9.278140e-07,9.278140e-07,71,11.538320,0.077438
2,42,erms,100,10,7,80.00,110.00,11.499601,11.538320,11.499601,30.00,30.00,0,3.236796e-04,3.236796e-04,1326,11.538320,0.038719
2,42,erms,100,10,8,110.00,130.00,11.499601,11.518960,11.518960,30.00,20.00,1,6.887227e-07,6.887227e-07,926,11.518960,0.019360
2,42,erms,100,10,9,130.00,160.00,11.509281,11.518960,11.509281,30.00,30.00,0,3.428840e-04,3.428840e-04,1331,11.518960,0.009680
