run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
4,42,pt,100,10,0,0.00,15.00,9.912114,14.868171,9.912114,15.00,15.00,0,1.831078e+01,1.831078e+01,0,,4.956057
4,42,pt,100,10,1,15.00,30.00,12.390142,14.868171,12.390142,15.00,15.00,0,1.231727e+01,1.231727e+01,0,,2.478028
4,42,pt,100,10,2,30.00,45.00,13.629156,14.868171,13.629156,15.00,15.00,0,1.702723e+01,1.702723e+01,0,,1.239014
4,42,pt,100,10,3,45.00,60.00,14.248664,14.868171,14.248664,15.00,15.00,0,1.567592e+01,1.567592e+01,0,,0.619507
4,42,pt,100,10,4,60.00,75.00,14.558417,14.868171,14.558417,15.00,15.00,0,7.988773e+00,7.988773e+00,0,,0.309754
4,42,pt,100,10,5,75.00,105.00,14.713294,14.868171,14.713294,30.00,30.00,0,5.412960e+00,5.412960e+00,0,,0.154877
4,42,pt,100,10,6,105.00,135.00,14.790732,14.868171,14.790732,30.00,30.00,0,5.395772e+00,5.395772e+00,0,,0.077438
4,42,pt,100,10,7,135.00,165.00,14.829452,14.868171,14.829452,30.00,30.00,0,8.869855e+00,8.869855e+00,0,,0.038719
4,42,pt,100,10,8,165.00,195.00,14.848811,14.868171,14.848811,30.00,30.00,0,5.240039e+00,5.240039e+00,0,,0.019360
4,42,pt,100,10,9,195.00,225.00,14.858491,14.868171,14.858491,30.00,30.00,0,5.812006e+00,5.812006e+00,0,,0.009680
4,42,pt,100,10,10,225.00,285.00,14.863331,14.868171,14.863331,60.00,60.00,0,1.132701e+01,1.132701e+01,0,,0.004840
4,42,pt,100,10,11,285.00,345.00,14.865751,14.868171,14.865751,60.00,60.00,0,1.047489e+01,1.047489e+01,0,,0.002420
4,42,pt,100,10,12,345.00,405.00,14.866961,14.868171,14.866961,60.00,60.00,0,1.560510e+01,1.560510e+01,0,,0.001210
4,42,pt,100,10,13,405.00,465.00,14.867566,14.868171,14.867566,60.00,60.00,0,7.576242e+00,7.576242e+00,0,,0.000605
4,42,pt,100,10,14,465.00,525.00,14.867868,14.868171,14.867868,60.00,60.00,0,1.059155e+01,1.059155e+01,0,,0.000302
4,42,pt,100,10,15,525.00,585.00,14.868019,14.868171,14.868019,60.00,60.00,0,1.473059e+01,1.473059e+01,0,,0.000151
4,42,pt,100,10,16,585.00,600.00,14.868095,14.868171,14.868095,15.00,15.00,0,4.072031e+00,4.072031e+00,0,,0.000076
