run_id,seed,method,N,R,wall_sec,probe_idx,L_current,best_energy,best_feas,feasible_ever,L_best,event
4,42,pt,100,10,0.00,0,9.912114,1.000000e+30,0.000000e+00,0,,probe_start
4,42,pt,100,10,15.00,0,9.912114,1.831078e+01,1.831078e+01,0,,probe_end
4,42,pt,100,10,15.00,1,12.390142,1.831078e+01,0.000000e+00,0,,probe_start
4,42,pt,100,10,30.00,1,12.390142,1.231727e+01,1.231727e+01,0,,probe_end
4,42,pt,100,10,30.00,2,13.629156,1.231727e+01,0.000000e+00,0,,probe_start
4,42,pt,100,10,45.00,2,13.629156,1.231727e+01,1.702723e+01,0,,probe_end
4,42,pt,100,10,45.00,3,14.248664,1.231727e+01,0.000000e+00,0,,probe_start
4,42,pt,100,10,60.00,3,14.248664,1.231727e+01,1.567592e+01,0,,probe_end
4,42,pt,100,10,60.00,4,14.558417,1.231727e+01,0.000000e+00,0,,probe_start
4,42,pt,100,10,75.00,4,14.558417,7.988773e+00,7.988773e+00,0,,probe_end
4,42,pt,100,10,75.00,5,14.713294,7.988773e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,105.00,5,14.713294,5.412960e+00,5.412960e+00,0,,probe_end
4,42,pt,100,10,105.00,6,14.790732,5.412960e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,135.00,6,14.790732,5.395772e+00,5.395772e+00,0,,probe_end
4,42,pt,100,10,135.00,7,14.829452,5.395772e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,165.00,7,14.829452,5.395772e+00,8.869855e+00,0,,probe_end
4,42,pt,100,10,165.00,8,14.848811,5.395772e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,195.00,8,14.848811,5.240039e+00,5.240039e+00,0,,probe_end
4,42,pt,100,10,195.00,9,14.858491,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,225.00,9,14.858491,5.240039e+00,5.812006e+00,0,,probe_end
4,42,pt,100,10,225.00,10,14.863331,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,285.00,10,14.863331,5.240039e+00,1.132701e+01,0,,probe_end
4,42,pt,100,10,285.00,11,14.865751,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,345.00,11,14.865751,5.240039e+00,1.047489e+01,0,,probe_end
4,42,pt,100,10,345.00,12,14.866961,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,405.00,12,14.866961,5.240039e+00,1.560510e+01,0,,probe_end
4,42,pt,100,10,405.00,13,14.867566,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,465.00,13,14.867566,5.240039e+00,7.576242e+00,0,,probe_end
4,42,pt,100,10,465.00,14,14.867868,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,525.00,14,14.867868,5.240039e+00,1.059155e+01,0,,probe_end
4,42,pt,100,10,525.00,15,14.868019,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,585.00,15,14.868019,5.240039e+00,1.473059e+01,0,,probe_end
4,42,pt,100,10,585.00,16,14.868095,5.240039e+00,0.000000e+00,0,,probe_start
4,42,pt,100,10,600.00,16,14.868095,4.072031e+00,4.072031e+00,0,,probe_end
