run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
1,2000,erms,100,10,0,0.00,15.00,9.912114,14.868171,9.912114,15.00,15.00,0,8.405502e-03,8.405502e-03,404,,4.956057
1,2000,erms,100,10,1,15.00,24.00,9.912114,12.390142,12.390142,15.00,9.00,1,0.000000e+00,0.000000e+00,305,12.390142,2.478028
1,2000,erms,100,10,2,24.00,39.00,11.151128,12.390142,11.151128,15.00,15.00,0,4.072091e-03,4.072091e-03,545,12.390142,1.239014
1,2000,erms,100,10,3,39.00,50.00,11.151128,11.770635,11.770635,15.00,11.00,1,9.043149e-07,9.043149e-07,407,11.770635,0.619507
1,2000,erms,100,10,4,50.00,56.00,11.151128,11.460882,11.460882,15.00,6.00,1,0.000000e+00,0.000000e+00,260,11.460882,0.309754
1,2000,erms,100,10,5,56.00,86.00,11.306005,11.460882,11.306005,30.00,30.00,0,1.009931e-03,1.009931e-03,1068,11.460882,0.154877
1,2000,erms,100,10,6,86.00,116.00,11.383443,11.460882,11.383443,30.00,30.00,0,1.685567e-04,1.685567e-04,1138,11.460882,0.077438
1,2000,erms,100,10,7,116.00,146.00,11.422162,11.460882,11.422162,30.00,30.00,0,6.140901e-04,6.140901e-04,1171,11.460882,0.038719
1,2000,erms,100,10,8,146.00,176.00,11.441522,11.460882,11.441522,30.00,30.00,0,3.615790e-04,3.615790e-04,1182,11.460882,0.019360
1,2000,erms,100,10,9,176.00,190.00,11.441522,11.451202,11.451202,30.00,14.00,1,1.187267e-08,1.187267e-08,566,11.451202,0.009680
