run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,L_best,bracket_width
1,42,ms,20,1,0,0.00,6.00,3.546266,4.876115,3.546266,6.00,6.00,0,2.946585e-03,2.946585e-03,,1.329850
1,42,ms,20,1,1,6.00,12.00,4.211190,4.876115,4.211190,6.00,6.00,0,3.820936e-06,3.820936e-06,,0.664925
1,42,ms,20,1,2,12.00,12.00,4.211190,4.543653,4.543653,6.00,0.00,1,2.714442e-07,2.714442e-07,4.543653,0.332462
1,42,ms,20,1,3,12.00,12.00,4.211190,4.377422,4.377422,6.00,0.00,1,1.625890e-07,1.625890e-07,4.377422,0.166231
1,42,ms,20,1,4,12.00,13.00,4.211190,4.294306,4.294306,6.00,1.00,1,0.000000e+00,0.000000e+00,4.294306,0.083116
1,42,ms,20,1,5,13.00,16.00,4.211190,4.252748,4.252748,12.00,3.00,1,2.190623e-07,2.190623e-07,4.252748,0.041558
1,42,ms,20,1,6,16.00,25.00,4.211190,4.231969,4.231969,12.00,9.00,1,0.000000e+00,0.000000e+00,4.231969,0.020779
1,42,ms,20,1,7,25.00,34.00,4.211190,4.221580,4.221580,12.00,9.00,1,0.000000e+00,0.000000e+00,4.221580,0.010389
1,42,ms,20,1,8,34.00,41.00,4.211190,4.216385,4.216385,12.00,7.00,1,0.000000e+00,0.000000e+00,4.216385,0.005195
1,42,ms,20,1,9,41.00,43.00,4.211190,4.213788,4.213788,12.00,2.00,1,0.000000e+00,0.000000e+00,4.213788,0.002597
