run_id,seed,method,N,R,wall_sec,probe_idx,L_current,best_energy,best_feas,feasible_ever,L_best,event
1,42,ms,20,1,0.00,0,3.546266,1.000000e+30,0.000000e+00,0,,probe_start
1,42,ms,20,1,6.00,0,3.546266,3.378529e-03,3.378529e-03,0,,probe_end
1,42,ms,20,1,6.00,1,4.211190,3.378529e-03,0.000000e+00,0,,probe_start
1,42,ms,20,1,10.00,1,4.211190,0.000000e+00,0.000000e+00,1,4.211190,probe_end
1,42,ms,20,1,10.00,2,3.878728,0.000000e+00,0.000000e+00,1,4.211190,probe_start
1,42,ms,20,1,16.00,2,3.878728,0.000000e+00,6.478548e-05,1,4.211190,probe_end
1,42,ms,20,1,16.00,3,4.044959,0.000000e+00,0.000000e+00,1,4.211190,probe_start
1,42,ms,20,1,22.00,3,4.044959,0.000000e+00,6.976508e-05,1,4.211190,probe_end
1,42,ms,20,1,22.00,4,4.128075,0.000000e+00,0.000000e+00,1,4.211190,probe_start
1,42,ms,20,1,26.00,4,4.128075,0.000000e+00,0.000000e+00,1,4.128075,probe_end
1,42,ms,20,1,26.00,5,4.086517,0.000000e+00,0.000000e+00,1,4.128075,probe_start
1,42,ms,20,1,38.00,5,4.086517,0.000000e+00,2.214841e-06,1,4.128075,probe_end
1,42,ms,20,1,38.00,6,4.107296,0.000000e+00,0.000000e+00,1,4.128075,probe_start
1,42,ms,20,1,49.00,6,4.107296,0.000000e+00,0.000000e+00,1,4.107296,probe_end
1,42,ms,20,1,49.00,7,4.096906,0.000000e+00,0.000000e+00,1,4.107296,probe_start
1,42,ms,20,1,60.00,7,4.096906,0.000000e+00,2.352057e-05,1,4.107296,probe_end
