run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
0,42,erms,10,4,0,0.00,6.00,2.507588,3.447934,2.507588,6.00,6.00,0,4.322065e-06,4.322065e-06,1402,,0.940346
0,42,erms,10,4,1,6.00,6.00,2.507588,2.977761,2.977761,6.00,0.00,1,4.591245e-07,4.591245e-07,158,2.977761,0.470173
0,42,erms,10,4,2,6.00,8.00,2.507588,2.742675,2.742675,6.00,2.00,1,0.000000e+00,0.000000e+00,456,2.742675,0.235086
0,42,erms,10,4,3,8.00,14.00,2.625132,2.742675,2.625132,6.00,6.00,0,5.875431e-03,5.875431e-03,1314,2.742675,0.117543
0,42,erms,10,4,4,14.00,14.00,2.625132,2.683903,2.683903,6.00,0.00,1,0.000000e+00,0.000000e+00,35,2.683903,0.058772
0,42,erms,10,4,5,14.00,16.00,2.625132,2.654517,2.654517,12.00,2.00,1,3.012298e-07,3.012298e-07,516,2.654517,0.029386
0,42,erms,10,4,6,16.00,18.00,2.625132,2.639825,2.639825,12.00,2.00,1,6.372367e-07,6.372367e-07,500,2.639825,0.014693
0,42,erms,10,4,7,18.00,30.00,2.632478,2.639825,2.632478,12.00,12.00,0,2.063360e-02,2.063360e-02,2714,2.639825,0.007346
0,42,erms,10,4,8,30.00,31.00,2.632478,2.636151,2.636151,12.00,1.00,1,0.000000e+00,0.000000e+00,338,2.636151,0.003673
0,42,erms,10,4,9,31.00,37.00,2.632478,2.634315,2.634315,12.00,6.00,1,1.320079e-07,1.320079e-07,1202,2.634315,0.001837
