# prefix=out/smoke_ms method=ms run_id=0 seed=42 L=2.5259546095695615 best_feas=0 N=10
i,cx,cy,theta_rad
0,0.730505926713229,0.086193933313052695,5.9188143613940953
1,-0.17526746858519554,0.99684424963394969,3.8342913088083517
2,-0.8832685588097654,0.363272086102574,6.2088537327833793
3,-0.98134412569285601,-0.66513337007060214,5.6364702551090344
4,-0.32351553184696946,0.55439034968641654,3.0292851265513692
5,0.31571038725423128,-1.0388418756913285,5.9291188110179398
6,0.93608152903172648,-0.49817238990756324,3.5328311919938029
7,0.29890510230858225,-0.017562285673636394,1.9320842754270073
8,-0.32809310346604742,-0.8219432496906337,5.292212706832192
9,0.46498247169757251,0.80756929945203493,5.161984689783937
