Epoch,BestEnergy,BoxSizeL
0,-12.000000,100.000000
1,-12.000000,99.000000
2,-11.000000,98.010002
3,-11.000000,97.029900
4,-11.000000,96.059601
5,-12.000000,95.099007
6,-12.000000,94.148018
7,-11.000000,93.206535
8,-12.000000,92.274467
9,-11.000000,91.351723
10,-12.000000,90.438210
11,-12.000000,89.533829
12,-12.000000,88.638489
13,-11.000000,87.752106
14,-12.000000,86.874588
15,-12.000000,86.005844
16,-12.000000,85.145790
17,-12.000000,84.294334
18,-11.000000,83.451393
19,-12.000000,82.616882
20,-12.000000,81.790718
21,-12.000000,80.972809
22,-12.000000,80.163078
23,-12.000000,79.361450
24,-11.000000,78.567833
25,-12.000000,77.782158
26,-11.000000,77.004333
27,-12.000000,76.234291
28,-12.000000,75.471947
29,-11.000000,74.717232
30,-12.000000,73.970062
31,-11.000000,73.230362
32,-11.000000,72.498062
33,-11.000000,71.773079
34,-11.000000,71.055351
35,-11.000000,70.344795
36,-11.000000,69.641350
37,-11.000000,68.944939
38,-12.000000,68.255493
39,-11.000000,67.572937
40,-11.000000,66.897209
41,-11.000000,66.228241
42,-11.000000,65.565956
43,-11.000000,64.910294
44,-11.000000,64.261192
45,-11.000000,63.618580
46,-11.000000,62.982395
47,-11.000000,62.352573
48,-11.000000,61.729050
49,-11.000000,61.111759
50,-11.000000,60.500641
51,-11.000000,59.895634
52,-11.000000,59.296677
53,-11.000000,58.703709
54,-11.000000,58.116673
