X,Y,Angle
33.1138,32.9517,-1.2907
27.5224,1.3875,2.0352
-14.3947,-12.5236,-0.9219
32.6954,-24.9718,0.2490
-31.9024,24.5951,-0.4925
21.1978,30.3621,2.7059
24.5647,-28.6865,-0.5584
26.6649,-19.2970,-1.0978
30.5165,10.6220,-2.0210
19.6214,-32.7096,-1.6349
-10.4909,29.1456,2.7045
-31.9799,29.3799,2.0846
-27.1879,-29.4792,0.0700
-13.2383,29.4127,0.2926
27.5537,-31.7836,1.7015
2.6764,32.1478,0.5785
-4.1603,1.5767,-0.4108
-7.0063,8.3892,-0.6144
3.9034,-32.7687,-0.4389
-4.3286,17.3706,2.1456
-22.1269,-24.5611,1.2520
30.7929,-15.9509,-1.9601
-32.2021,3.1973,0.8003
-15.9594,12.4908,-1.0134
-30.2297,-2.3992,-2.4231
-7.7410,32.5508,-3.1080
23.4634,-0.6468,2.6653
-32.4747,28.2762,2.1600
32.6181,-1.8877,-1.2344
-5.2597,22.4862,-1.4393
28.0214,-32.5793,3.1023
-13.4601,31.5002,0.0394
-8.8854,32.7979,3.0897
5.8045,-6.2998,-2.5103
21.5021,-1.0620,0.1588
12.9800,31.3205,-2.2005
17.0727,9.7506,-0.4974
-10.0239,25.4316,-2.6064
-11.5932,26.5599,-0.3153
16.0490,-30.9864,-2.9079
10.3255,-29.7989,0.5592
10.6412,-6.0511,-0.0353
-22.4961,30.3709,2.5291
-32.6884,-2.7918,-1.5934
11.2134,32.5629,-0.1686
32.5620,22.4309,-2.1889
29.2068,17.2926,-2.5153
13.8785,29.7064,0.0970
-31.8593,-23.3831,0.5713
23.9839,29.7475,1.6060
-18.8622,-7.8536,0.8808
-32.3378,-32.8239,-0.4038
24.8972,-18.2489,0.4537
-24.8883,-12.9863,0.9878
-27.7055,32.1173,-2.5607
6.2857,31.5383,0.5752
32.9851,12.8509,-1.7119
22.4575,-16.6435,2.6147
-2.1159,-0.6784,2.0730
29.1781,-5.0081,1.9368
1.7088,23.5659,2.3711
-19.0996,31.7265,-0.6765
-30.7288,8.4438,1.1840
23.9314,26.7698,-2.0466
13.7627,-32.5607,-2.2056
19.7711,24.8668,2.5528
-21.1222,7.5313,2.3042
-0.2973,-11.6869,0.9086
24.8165,31.9909,-0.2432
-29.1612,24.8799,1.0141
