t_sec,step,L,minE,medianE,p10E,p90E,acceptRateHot,acceptRateCold,swapsAccepted,broadphaseRejectRate
1769789190,5000,99.000000,-12.000000,-3.000000,-6.000000,-1.000000,0.987602,0.985603,0,0.000000
1769789211,10000,98.010002,-12.000000,-3.000000,-6.000000,-1.000000,0.989201,0.983002,0,0.000000
1769789232,15000,97.029900,-11.000000,-3.000000,-6.000000,-1.000000,0.988334,0.983934,0,0.000000
1769789254,20000,96.059601,-11.000000,-3.000000,-6.000000,-1.000000,0.988551,0.983901,0,0.000000
1769789275,25000,95.099007,-11.000000,-3.000000,-6.000000,-1.000000,0.988920,0.985161,0,0.000000
1769789297,30000,94.148018,-12.000000,-3.000000,-6.000000,-1.000000,0.988267,0.985600,0,0.000000
1769789318,35000,93.206535,-12.000000,-3.000000,-6.000000,-1.000000,0.988800,0.984886,0,0.000000
1769789340,40000,92.274467,-11.000000,-3.000000,-6.000000,-1.000000,0.988500,0.984950,0,0.000000
1769789362,45000,91.351723,-12.000000,-3.000000,-6.000000,-1.000000,0.987845,0.984845,0,0.000000
1769789383,50000,90.438210,-11.000000,-3.000000,-6.000000,-1.000000,0.987660,0.984620,0,0.000000
1769789405,55000,89.533829,-12.000000,-3.000000,-6.000000,-1.000000,0.987400,0.984728,0,0.000000
1769789427,60000,88.638489,-12.000000,-3.000000,-6.000000,-1.000000,0.987450,0.984117,0,0.000000
1769789449,65000,87.752106,-12.000000,-3.000000,-6.000000,-1.000000,0.987431,0.983800,0,0.000000
1769789471,70000,86.874588,-11.000000,-3.000000,-6.000000,-1.000000,0.987386,0.983386,0,0.000000
1769789493,75000,86.005844,-12.000000,-3.000000,-6.000000,-1.000000,0.987320,0.983227,0,0.000000
1769789515,80000,85.145790,-12.000000,-3.000000,-6.000000,-1.000000,0.987000,0.982925,0,0.000000
1769789537,85000,84.294334,-12.000000,-3.000000,-6.000000,-1.000000,0.986612,0.982718,0,0.000000
1769789560,90000,83.451393,-12.000000,-3.000000,-6.000000,-1.000000,0.986578,0.982311,0,0.000000
1769789582,95000,82.616882,-11.000000,-3.000000,-6.000000,-1.000000,0.986495,0.982316,0,0.000000
1769789605,100000,81.790718,-12.000000,-3.000000,-6.000000,-1.000000,0.986140,0.982220,0,0.000000
1769789627,105000,80.972809,-12.000000,-3.000000,-6.000000,-1.000000,0.985562,0.982095,0,0.000000
1769789650,110000,80.163078,-12.000000,-3.000000,-6.000000,-1.000000,0.985455,0.981446,0,0.000000
1769789673,115000,79.361450,-12.000000,-3.000000,-6.000000,-1.000000,0.985165,0.981148,0,0.000000
1769789696,120000,78.567833,-12.000000,-3.000000,-6.000000,-1.000000,0.984783,0.980400,0,0.000000
1769789719,125000,77.782158,-11.000000,-3.000000,-6.000000,-1.000000,0.984688,0.979976,0,0.000000
1769789742,130000,77.004333,-12.000000,-3.000000,-6.000000,-1.000000,0.984554,0.979585,0,0.000000
1769789765,135000,76.234291,-11.000000,-3.000000,-6.000000,-1.000000,0.984163,0.979548,0,0.000000
1769789789,140000,75.471947,-12.000000,-3.000000,-6.000000,-1.000000,0.983922,0.979250,0,0.000000
1769789812,145000,74.717232,-12.000000,-3.000000,-6.000000,-1.000000,0.983807,0.979173,0,0.000000
1769789836,150000,73.970062,-11.000000,-3.000000,-6.000000,-1.000000,0.983713,0.978653,0,0.000000
1769789860,155000,73.230362,-12.000000,-3.000000,-6.000000,-1.000000,0.983277,0.977787,0,0.000000
1769789884,160000,72.498062,-11.000000,-3.000000,-6.000000,-1.000000,0.982706,0.977469,0,0.000000
1769789908,165000,71.773079,-11.000000,-3.000000,-6.000000,-1.000000,0.982115,0.977061,0,0.000000
1769789932,170000,71.055351,-11.000000,-3.000000,-6.000000,-1.000000,0.981753,0.976512,0,0.000000
1769789957,175000,70.344795,-11.000000,-3.000000,-6.000000,-1.000000,0.981200,0.975886,0,0.000000
1769789981,180000,69.641350,-11.000000,-3.000000,-6.000000,-1.000000,0.980700,0.975311,0,0.000000
1769790006,185000,68.944939,-11.000000,-3.000000,-6.000000,-1.000000,0.980406,0.974822,0,0.000000
1769790031,190000,68.255493,-11.000000,-3.000000,-6.000000,-1.000000,0.980100,0.974105,0,0.000000
1769790056,195000,67.572937,-12.000000,-3.000000,-6.000000,-1.000000,0.979462,0.973544,0,0.000000
1769790081,200000,66.897209,-11.000000,-3.000000,-6.000000,-1.000000,0.978855,0.972880,0,0.000000
1769790106,205000,66.228241,-11.000000,-3.000000,-6.000000,-1.000000,0.978303,0.971990,0,0.000000
1769790131,210000,65.565956,-11.000000,-3.000000,-6.000000,-1.000000,0.977833,0.971362,0,0.000000
1769790157,215000,64.910294,-11.000000,-3.000000,-6.000000,-1.000000,0.977181,0.970600,0,0.000000
1769790183,220000,64.261192,-11.000000,-3.000000,-6.000000,-1.000000,0.976477,0.970182,0,0.000000
1769790209,225000,63.618580,-11.000000,-3.000000,-6.000000,-1.000000,0.975689,0.969542,0,0.000000
1769790235,230000,62.982395,-11.000000,-3.000000,-6.000000,-1.000000,0.974957,0.968844,0,0.000000
1769790261,235000,62.352573,-11.000000,-3.000000,-6.000000,-1.000000,0.974247,0.968081,0,0.000000
1769790287,240000,61.729050,-11.000000,-3.000000,-6.000000,-1.000000,0.973663,0.967529,0,0.000000
1769790314,245000,61.111759,-11.000000,-3.000000,-6.000000,-1.000000,0.972800,0.966865,0,0.000000
1769790340,250000,60.500641,-11.000000,-3.000000,-6.000000,-1.000000,0.972216,0.966244,0,0.000000
1769790367,255000,59.895634,-11.000000,-3.000000,-6.000000,-1.000000,0.971757,0.965486,0,0.000000
1769790394,260000,59.296677,-11.000000,-3.000000,-6.000000,-1.000000,0.971219,0.964854,0,0.000000
1769790421,265000,58.703709,-11.000000,-3.000000,-6.000000,-1.000000,0.970751,0.964283,0,0.000000
1769790448,270000,58.116673,-11.000000,-3.000000,-6.000000,-1.000000,0.970282,0.963622,0,0.000000
1769790475,275000,57.535507,-11.000000,-3.000000,-6.000000,-1.000000,0.969738,0.962935,0,0.000000
