N,path,prefix,run_id,seed,L,best_feas,density,area_gap,area_gap_frac,boundary_fraction,nn_mean,nn_std,orient_entropy
1,csv/N1_job12345_task1_best_polys_N001.csv,N1_job12345_task1,1,12345,0.8132704260067767,0.0,0.3713664004273892,0.41578378581724407,0.6286335995726108,1.0,0.0,0.0,-0.0
2,csv/N2_job12346_task2_best_polys_N002.csv,N2_job12346_task2,2,12345,0.9514816435238016,0.0,0.5426274194173873,0.41406731796275476,0.45737258058261265,1.0,0.6078041483126767,0.0,0.6931471805599453
3,csv/DEMO_N3_best_polys_N003.csv,DEMO_N3,3,12345,1.1442766112710485,0.0,0.5627710910867398,0.5724939631019543,0.43722890891326016,1.0,0.5212264379529469,0.05101797746151899,1.0986122886681096
4,csv/N4_job12346_task4_best_polys_N004.csv,N4_job12346_task4,4,12345,1.3286579690226998,0.0,0.5565525355869168,0.7828319986475256,0.44344746441308325,1.0,0.3741774334553964,0.04806671999500094,1.3862943611198906
5,csv/N5_job12346_task5_best_polys_N005.csv,N5_job12346_task5,5,12345,1.4777515124332923,0.0,0.5623927935520362,0.955624532498883,0.4376072064479638,1.0,0.6123782549778404,0.12469074801317206,1.6094379124341005
6,csv/N6_job5048388_task6_best_polys_N006.csv,N6_job5048388_task6,6,12345,1.7994496928453785,0.0,0.4551393646240279,1.764269197081327,0.5448606353759722,1.0,0.456146995186894,0.08363387390546917,1.7917594692280547
7,csv/N7_job5048389_task7_best_polys_N007.csv,N7_job5048389_task7,7,12345,1.885398249922242,0.0,0.48368699268060855,1.8353515608098525,0.5163130073193914,1.0,0.5817821249035253,0.17601093046503766,1.945910149055313
8,csv/N8_job5048390_task8_best_polys_N008.csv,N8_job5048390_task8,8,12345,2.050881747799679,0.0,0.4671768506658342,2.2411159434578662,0.5328231493341657,1.0,0.5585046923381112,0.10227862462359867,1.7328679513998633
9,csv/N9_job5048391_task9_best_polys_N009.csv,N9_job5048391_task9,9,12345,2.126304107809869,0.0,0.48894985396723434,2.310544158889122,0.5110501460327657,1.0,0.5756154102699864,0.19355147203455897,2.1972245773362196
10,csv/N10_job5048392_task10_best_polys_N010.csv,N10_job5048392_task10,10,12345,2.34979165073269,0.0,0.44485026646565656,3.0652708018530612,0.5551497335343434,1.0,0.5540936276098635,0.13473791673013025,2.163955656882057
11,csv/N11_job5048408_task11_best_polys_N011.csv,N11_job5048408_task11,11,12345,2.410097911265186,0.0,0.4651530577622964,3.106696941884812,0.5348469422377036,1.0,0.5221131151204093,0.16779267794701538,2.0982737395252498
12,csv/N12_job5048409_task12_best_polys_N012.csv,N12_job5048409_task12,12,12345,2.525503456977464,0.0,0.46212331400785406,3.430667711205121,0.537876685992146,1.0,0.605441812523542,0.11861442753695901,2.484906649788001
13,csv/N13_job5048410_task13_best_polys_N013.csv,N13_job5048410_task13,13,12345,2.6517220648021613,0.0,0.454108797155522,3.838504908958638,0.545891202844478,1.0,0.575166541455421,0.10204005965721903,2.2450352741261774
14,csv/N14_job5048411_task14_best_polys_N014.csv,N14_job5048411_task14,14,12345,2.743883656136438,0.0,0.45674017896912467,4.0901475184126665,0.5432598210308753,1.0,0.5353357121433253,0.10166787830360295,2.341994252232425
15,csv/N15_job5048412_task15_best_polys_N015.csv,N15_job5048412_task15,15,12345,2.864070947276392,0.0,0.4491550459051802,4.5185273910326895,0.5508449540948198,1.0,0.5520091838431554,0.09204456592497841,2.3383717048035724
16,csv/N16_job5048413_task16_best_polys_N016.csv,N16_job5048413_task16,16,12345,2.976096360250401,0.0,0.4437093423581863,4.927149545495686,0.5562906576418136,1.0,0.5544611568261066,0.12405095060805799,2.5126585295298014
17,csv/N17_job5048414_task17_best_polys_N017.csv,N17_job5048414_task17,17,12345,3.0945441862522305,0.0,0.43604178877148525,5.400578720667479,0.5639582112285147,1.0,0.5334925221839254,0.09759335781676798,2.6701198898068177
18,csv/N18_job5048415_task18_best_polys_N018.csv,N18_job5048415_task18,18,12345,3.1963820308786453,0.0,0.43274066862937705,5.795608087323893,0.5672593313706229,1.0,0.5433991258839005,0.09979915854900678,2.505289990918418
19,csv/N19_job5048416_task19_best_polys_N019.csv,N19_job5048416_task19,19,12345,3.2927120713314335,0.0,0.43044598078211316,6.175077784691741,0.5695540192178868,1.0,0.5356998203186809,0.0846871026465079,2.7709738809556863
20,csv/N20_job5048417_task20_best_polys_N020.csv,N20_job5048417_task20,20,12345,3.2656603097089496,0.0,0.4606388332627171,5.752037258408354,0.5393611667372828,1.0,0.5290313980793215,0.08535696099100953,2.5536815580297962
21,csv/N21_job5048418_task21_best_polys_N021.csv,N21_job5048418_task21,21,12345,3.428125968663449,0.0,0.43891287293382986,6.593922657024711,0.5610871270661701,1.0,0.538124772617053,0.1113877796939226,2.846480386134867
22,csv/N22_job5048419_task22_best_polys_N022.csv,N22_job5048419_task22,22,12345,3.472023188047581,0.0,0.44826002870845705,6.651195018340089,0.551739971291543,1.0,0.5673464397910135,0.08815217251678811,2.8389889331546994
