run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,L_best,bracket_width
3,99,ms,50,10,0,0.00,10.00,6.308031,9.111600,6.308031,10.00,10.00,0,9.281013e-03,9.281013e-03,,2.803569
3,99,ms,50,10,1,10.00,20.00,7.709815,9.111600,7.709815,10.00,10.00,0,8.283255e-05,8.283255e-05,,1.401785
3,99,ms,50,10,2,20.00,30.00,8.410707,9.111600,8.410707,10.00,10.00,0,6.640722e-06,6.640722e-06,,0.700892
3,99,ms,50,10,3,30.00,37.00,8.410707,8.761154,8.761154,10.00,7.00,1,0.000000e+00,0.000000e+00,8.761154,0.350446
3,99,ms,50,10,4,37.00,45.00,8.410707,8.585931,8.585931,10.00,8.00,1,0.000000e+00,0.000000e+00,8.585931,0.175223
3,99,ms,50,10,5,45.00,65.00,8.498319,8.585931,8.498319,20.00,20.00,0,1.830943e-06,1.830943e-06,8.585931,0.087612
3,99,ms,50,10,6,65.00,72.00,8.498319,8.542125,8.542125,20.00,7.00,1,0.000000e+00,0.000000e+00,8.542125,0.043806
3,99,ms,50,10,7,72.00,84.00,8.498319,8.520222,8.520222,20.00,12.00,1,2.466253e-07,2.466253e-07,8.520222,0.021903
3,99,ms,50,10,8,84.00,95.00,8.498319,8.509270,8.509270,20.00,11.00,1,0.000000e+00,0.000000e+00,8.509270,0.010951
3,99,ms,50,10,9,95.00,100.00,8.498319,8.503795,8.503795,20.00,5.00,1,4.337984e-07,4.337984e-07,8.503795,0.005476
