run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,L_best,bracket_width
2,42,ms,20,4,0,0.00,6.00,3.546266,4.876115,3.546266,6.00,6.00,0,3.456812e-04,3.456812e-04,,1.329850
2,42,ms,20,4,1,6.00,6.00,3.546266,4.211190,4.211190,6.00,0.00,1,8.055141e-07,8.055141e-07,4.211190,0.664925
2,42,ms,20,4,2,6.00,12.00,3.878728,4.211190,3.878728,6.00,6.00,0,6.989842e-05,6.989842e-05,4.211190,0.332462
2,42,ms,20,4,3,12.00,18.00,4.044959,4.211190,4.044959,6.00,6.00,0,3.044432e-05,3.044432e-05,4.211190,0.166231
2,42,ms,20,4,4,18.00,24.00,4.128075,4.211190,4.128075,6.00,6.00,0,7.237802e-06,7.237802e-06,4.211190,0.083116
2,42,ms,20,4,5,24.00,24.00,4.128075,4.169633,4.169633,12.00,0.00,1,1.810258e-07,1.810258e-07,4.169633,0.041558
2,42,ms,20,4,6,24.00,31.00,4.128075,4.148854,4.148854,12.00,7.00,1,3.963057e-07,3.963057e-07,4.148854,0.020779
2,42,ms,20,4,7,31.00,33.00,4.128075,4.138464,4.138464,12.00,2.00,1,0.000000e+00,0.000000e+00,4.138464,0.010389
2,42,ms,20,4,8,33.00,38.00,4.128075,4.133270,4.133270,12.00,5.00,1,3.122611e-07,3.122611e-07,4.133270,0.005195
2,42,ms,20,4,9,38.00,50.00,4.130672,4.133270,4.130672,12.00,12.00,0,2.368452e-06,2.368452e-06,4.133270,0.002597
