run_id,seed,method,N,R,wall_sec,probe_idx,L_current,best_energy,best_feas,feasible_ever,L_best,event
1,42,erms,6,4,0.00,0,1.942370,1.000000e+30,0.000000e+00,0,,probe_start
1,42,erms,6,4,3.00,0,1.942370,0.000000e+00,0.000000e+00,1,1.942370,probe_end
1,42,erms,6,4,3.00,1,1.578175,0.000000e+00,0.000000e+00,1,1.942370,probe_start
1,42,erms,6,4,9.00,1,1.578175,0.000000e+00,1.574041e-02,1,1.942370,probe_end
1,42,erms,6,4,9.00,2,1.760273,0.000000e+00,0.000000e+00,1,1.942370,probe_start
1,42,erms,6,4,15.00,2,1.760273,0.000000e+00,2.295184e-03,1,1.942370,probe_end
1,42,erms,6,4,15.00,3,1.851321,0.000000e+00,0.000000e+00,1,1.942370,probe_start
1,42,erms,6,4,16.00,3,1.851321,0.000000e+00,8.873407e-07,1,1.851321,probe_end
1,42,erms,6,4,16.00,4,1.805797,0.000000e+00,0.000000e+00,1,1.851321,probe_start
1,42,erms,6,4,21.00,4,1.805797,0.000000e+00,2.829365e-08,1,1.805797,probe_end
1,42,erms,6,4,21.00,5,1.783035,0.000000e+00,0.000000e+00,1,1.805797,probe_start
1,42,erms,6,4,21.00,5,1.783035,0.000000e+00,2.499375e-07,1,1.783035,probe_end
1,42,erms,6,4,21.00,6,1.771654,0.000000e+00,0.000000e+00,1,1.783035,probe_start
1,42,erms,6,4,30.00,6,1.771654,0.000000e+00,4.997882e-04,1,1.783035,probe_end
