run_id,seed,method,N,R,probe_idx,wall_sec_start,wall_sec_end,L_lo,L_hi,L_mid,slice_budget_sec,slice_used_sec,feasible,min_energy,min_feas,resample_events,L_best,bracket_width
0,42,ms,10,4,0,0.00,6.00,2.507588,3.447934,2.507588,6.00,6.00,0,6.612601e-05,6.612601e-05,0,,0.940346
0,42,ms,10,4,1,6.00,6.00,2.507588,2.977761,2.977761,6.00,0.00,1,0.000000e+00,0.000000e+00,0,2.977761,0.470173
0,42,ms,10,4,2,6.00,6.00,2.507588,2.742675,2.742675,6.00,0.00,1,0.000000e+00,0.000000e+00,0,2.742675,0.235086
0,42,ms,10,4,3,6.00,7.00,2.507588,2.625132,2.625132,6.00,1.00,1,2.193122e-07,2.193122e-07,0,2.625132,0.117543
0,42,ms,10,4,4,7.00,12.00,2.507588,2.566360,2.566360,6.00,5.00,1,3.515842e-08,3.515842e-08,0,2.566360,0.058772
0,42,ms,10,4,5,12.00,21.00,2.507588,2.536974,2.536974,12.00,9.00,1,0.000000e+00,0.000000e+00,0,2.536974,0.029386
0,42,ms,10,4,6,21.00,33.00,2.522281,2.536974,2.522281,12.00,12.00,0,1.026780e-05,1.026780e-05,0,2.536974,0.014693
0,42,ms,10,4,7,33.00,42.00,2.522281,2.529628,2.529628,12.00,9.00,1,6.958726e-07,6.958726e-07,0,2.529628,0.007346
0,42,ms,10,4,8,42.00,44.00,2.522281,2.525955,2.525955,12.00,2.00,1,0.000000e+00,0.000000e+00,0,2.525955,0.003673
0,42,ms,10,4,9,44.00,56.00,2.524118,2.525955,2.524118,12.00,12.00,0,2.802652e-05,2.802652e-05,0,2.525955,0.001837
