i,x,y,deg
0,-2.848079698101,-1.562224580842,0.000000000000
1,-1.820610644449,-2.364987389631,0.000000000000
2,-2.413199007010,-2.021535476834,0.000000000000
3,-3.282788753559,-2.021844435842,0.000000000000
4,-3.716544504883,-2.620830911296,0.000000000000
5,-4.068219438951,-1.824851236562,0.000000000000
6,-3.281659901656,-3.080131660399,0.000000000000
7,-2.846982130437,-2.620455980608,0.000000000000
8,-2.255595514268,-2.824676552061,0.000000000000
9,-1.978311179671,-1.562241526259,0.000000000000
