i,x,y,deg
0,-3.649019716163,-2.998748181991,45.000000000000
1,-3.478128326842,-2.227005131641,225.000000000000
2,-3.178297515637,-1.924777557628,45.000000000000
3,-2.531874620349,-1.564916188117,225.000000000000
4,-3.229452053498,-3.391503428812,225.000000000000
5,-2.928892477784,-3.090944020129,45.000000000000
6,-2.715021387774,-2.595969276583,225.000000000000
7,-2.414464165083,-2.295412220923,45.000000000000
8,-3.346495575369,-3.985065260143,45.000000000000
9,-2.600523779121,-3.328890971374,225.000000000000
