i,x,y,deg
0,-3.131115612598,-3.184037387031,0.000000000000
1,-2.712541421967,-2.694937030583,180.000000000000
2,-2.279973578093,-3.296975215059,0.000000000000
3,-1.829080979412,-3.047867813740,180.000000000000
4,-3.475459092210,-2.373276893757,180.000000000000
5,-2.439185103244,-2.493168818881,0.000000000000
6,-1.987456034127,-2.244897887998,180.000000000000
7,-1.572624479043,-2.742221299058,0.000000000000
8,-3.324562310273,-2.141261300132,0.000000000000
9,-2.872565680443,-1.892800567908,180.000000000000
