i,x,y,deg
0,-3.471628931693,-3.040883112969,0.000000000000
1,-2.926851717909,-2.885660326753,0.000000000000
2,-2.354408078566,-3.014077642616,0.000000000000
3,-1.854408126543,-2.814077622626,0.000000000000
4,-3.166810122199,-2.065728190201,90.000000000000
5,-2.557892192644,-1.627550291018,90.000000000000
6,-2.132271346752,-2.080958779400,90.000000000000
7,-1.329417547195,-1.897891735853,90.000000000000
8,-3.437429539637,-1.514859717942,0.000000000000
9,-2.902130235821,-1.238131179426,0.000000000000
