i,x,y,deg
0,-3.395908659165,-3.274925878621,0.000000000000
1,-2.814010352971,-3.450761560843,180.000000000000
2,-2.388763820730,-3.450531849067,0.000000000000
3,-1.963404711607,-3.451472422436,180.000000000000
4,-2.973537123946,-2.648593697091,180.000000000000
5,-2.133372705447,-2.649322041052,0.000000000000
6,-1.707213257740,-2.649512414542,180.000000000000
7,-1.281822854891,-2.649061125295,0.000000000000
8,-2.981098269417,-2.015887007210,0.000000000000
9,-2.553831578063,-2.015887007210,180.000000000000
