i,x,y,deg
0,-2.541818486434,-2.305489850620,90.000000000000
1,-2.797473187783,-1.583214477110,227.507764050038
2,-2.069983746985,-3.011761527625,5.015528100076
3,-1.734410389252,-1.581598943535,142.523292150113
4,-3.340464069521,-2.788329247327,280.031056200151
5,-1.431060939813,-2.677277444494,57.538820250189
6,-2.357901164792,-1.156564399629,195.046584300227
7,-2.661340945135,-3.095714606525,332.554348350265
8,-1.270727901301,-1.981679884899,110.062112400303
9,-3.446312914163,-1.799963306746,247.569876450341
